haversine,delay
0.03569082784035954,185
0.03569082784035954,301
0.03569082784035954,275
0.03569082784035954,188
0.036191077374804835,161
0.036191077374804835,255
0.036191077374804835,193
0.036191077374804835,145
0.036191077374804835,136
0.036299733499728044,147
0.036299733499728044,150
0.036299733499728044,478
0.036299733499728044,293
0.036299733499728044,207
0.061415812827230916,179
0.061415812827230916,139
0.061415812827230916,209
0.061415812827230916,264
0.061415812827230916,272
0.08742033271007557,211
0.08742033271007557,147
0.08742033271007557,319
0.08742033271007557,222
0.08742033271007557,176
0.10141850577919716,311
0.10205782566263738,229
0.10205782566263738,170
0.10205782566263738,258
0.10205782566263738,176
0.11573253017227728,183
0.11573253017227728,285
0.11573253017227728,101
0.11573253017227728,196
0.11573253017227728,176
0.143572449015153,151
0.143572449015153,208
0.143572449015153,201
0.143572449015153,215
0.143572449015153,257
0.18233249966486398,171
0.18233249966486398,165
0.18233249966486398,305
0.18233249966486398,195
0.18233249966486398,325
0.21061020318694448,275
0.21061020318694448,236
0.21061020318694448,171
0.21061020318694448,289
0.21061020318694448,170
0.22444950916601497,176
0.22444950916601497,294
0.22444950916601497,194
0.22444950916601497,138
0.22444950916601497,169
0.21719519290735115,194
0.21719519290735115,227
0.21719519290735115,162
0.21719519290735115,168
0.21719519290735115,133
0.2250095709487124,193
0.2250095709487124,140
0.2250095709487124,254
0.2250095709487124,267
0.2250095709487124,156
0.25294233757090234,289
0.25294233757090234,458
0.25294233757090234,177
0.25294233757090234,316
0.276842030940545,167
0.276842030940545,127
0.276842030940545,312
0.276842030940545,152
0.276842030940545,237
0.2991033464951878,186
0.2991033464951878,143
0.2991033464951878,149
0.2991033464951878,197
0.2991033464951878,186
0.34073692988986737,128
0.34073692988986737,173
0.34073692988986737,148
0.34073692988986737,257
0.34073692988986737,131
0.40087093832771126,181
0.40087093832771126,111
0.40087093832771126,235
0.40087093832771126,192
0.40087093832771126,117
0.46568496230069284,166
0.46568496230069284,155
0.46568496230069284,300
0.46568496230069284,173
0.46568496230069284,216
0.5273621900950948,257
0.5273621900950948,150
0.5273621900950948,186
0.5273621900950948,292
0.5273621900950948,193
0.5780751255100937,182
0.5780751255100937,215
0.5780751255100937,139
0.5780751255100937,182
0.5780751255100937,151
0.6356489085636443,271
0.6356489085636443,127
0.6356489085636443,165
0.6356489085636443,296
0.6356489085636443,239
0.6947775447096047,189
0.6947775447096047,162
0.6947775447096047,148
0.6947775447096047,126
0.6947775447096047,180
0.7622727513082737,135
0.7622727513082737,143
0.7622727513082737,202
0.7622727513082737,151
0.7622727513082737,154
0.8238120292746117,143
0.8238120292746117,152
0.8238120292746117,281
0.8238120292746117,235
0.8238120292746117,199
0.8738639263553171,284
0.8738639263553171,250
0.8738639263553171,207
0.8738639263553171,149
0.8738639263553171,257
0.9102086273894119,215
0.9102086273894119,163
0.9102086273894119,138
0.9102086273894119,223
0.9102086273894119,186
0.939463371646663,124
0.939463371646663,113
0.939463371646663,201
0.939463371646663,147
